"","Date","Respondent","Code","Type","Timezone","Value","Units"
"189",2020-02-01,"New York Independent System Operator","NYIS","Demand","Eastern","402350","megawatthours"
"190",2020-02-01,"PJM Interconnection, LLC","PJM","Demand","Eastern","2121518","megawatthours"
"191",2020-02-01,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","628196","megawatthours"
"192",2020-02-01,"Tennessee Valley Authority","TVA","Demand","Eastern","421634","megawatthours"
"193",2020-02-02,"Duke Energy Progress East","CPLE","Demand","Eastern","161302","megawatthours"
"194",2020-02-02,"Duke Energy Carolinas","DUK","Demand","Eastern","266382","megawatthours"
"195",2020-02-02,"New York Independent System Operator","NYIS","Demand","Eastern","394120","megawatthours"
"196",2020-02-02,"PJM Interconnection, LLC","PJM","Demand","Eastern","2019563","megawatthours"
"197",2020-02-02,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","608565","megawatthours"
"198",2020-02-02,"Tennessee Valley Authority","TVA","Demand","Eastern","401683","megawatthours"
"199",2020-02-03,"Duke Energy Progress East","CPLE","Demand","Eastern","146140","megawatthours"
"200",2020-02-03,"Duke Energy Carolinas","DUK","Demand","Eastern","261810","megawatthours"
"201",2020-02-03,"New York Independent System Operator","NYIS","Demand","Eastern","410942","megawatthours"
"202",2020-02-03,"PJM Interconnection, LLC","PJM","Demand","Eastern","2050271","megawatthours"
"203",2020-02-03,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","591717","megawatthours"
"204",2020-02-03,"Tennessee Valley Authority","TVA","Demand","Eastern","390866","megawatthours"
"205",2020-02-04,"Duke Energy Progress East","CPLE","Demand","Eastern","138769","megawatthours"
"206",2020-02-04,"Duke Energy Carolinas","DUK","Demand","Eastern","248462","megawatthours"
"207",2020-02-04,"New York Independent System Operator","NYIS","Demand","Eastern","415349","megawatthours"
"208",2020-02-04,"PJM Interconnection, LLC","PJM","Demand","Eastern","2046920","megawatthours"
"209",2020-02-04,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","547064","megawatthours"
"210",2020-02-04,"Tennessee Valley Authority","TVA","Demand","Eastern","381661","megawatthours"
"211",2020-02-05,"Duke Energy Progress East","CPLE","Demand","Eastern","137401","megawatthours"
"212",2020-02-05,"Duke Energy Carolinas","DUK","Demand","Eastern","251499","megawatthours"
"213",2020-02-05,"New York Independent System Operator","NYIS","Demand","Eastern","420674","megawatthours"
"214",2020-02-05,"PJM Interconnection, LLC","PJM","Demand","Eastern","2189174","megawatthours"
"215",2020-02-05,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","539680","megawatthours"
"216",2020-02-05,"Tennessee Valley Authority","TVA","Demand","Eastern","390641","megawatthours"
"217",2020-02-06,"Duke Energy Progress East","CPLE","Demand","Eastern","138353","megawatthours"
"218",2020-02-06,"Duke Energy Carolinas","DUK","Demand","Eastern","254200","megawatthours"
"219",2020-02-06,"New York Independent System Operator","NYIS","Demand","Eastern","433669","megawatthours"
"220",2020-02-06,"PJM Interconnection, LLC","PJM","Demand","Eastern","2260462","megawatthours"
"221",2020-02-06,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","552187","megawatthours"
"222",2020-02-06,"Tennessee Valley Authority","TVA","Demand","Eastern","427065","megawatthours"
"223",2020-02-07,"Duke Energy Progress East","CPLE","Demand","Eastern","143939","megawatthours"
"224",2020-02-07,"Duke Energy Carolinas","DUK","Demand","Eastern","279428","megawatthours"
"225",2020-02-07,"New York Independent System Operator","NYIS","Demand","Eastern","431139","megawatthours"
"226",2020-02-07,"PJM Interconnection, LLC","PJM","Demand","Eastern","2253241","megawatthours"
"227",2020-02-07,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","665751","megawatthours"
"228",2020-02-07,"Tennessee Valley Authority","TVA","Demand","Eastern","509597","megawatthours"
"229",2020-02-08,"Duke Energy Progress East","CPLE","Demand","Eastern","180013","megawatthours"
